Particles, Iterations, Thread block size, CPU time, GPU time, Errors

--- Part 1, testing CPU ---

10 500 256 0.000036 0.003960 0
100 500 256 0.000352 0.003744 0
1000 500 256 0.003539 0.004524 0
10000 500 256 0.035316 0.015262 0
100000 500 256 0.345481 0.106853 0

--- Part 2, testing GPU ---

10 500 16 0.000037 0.003245 0
100 500 16 0.000352 0.003279 0
1000 500 16 0.003507 0.004399 0
10000 500 16 0.034888 0.011602 0
100000 500 16 0.346586 0.103197 0
10 500 32 0.000036 0.003286 0
100 500 32 0.000352 0.003304 0
1000 500 32 0.003518 0.004097 0
10000 500 32 0.034971 0.012506 0
100000 500 32 0.345891 0.106394 0
10 500 64 0.000036 0.003313 0
100 500 64 0.000351 0.003318 0
1000 500 64 0.003499 0.004447 0
10000 500 64 0.034775 0.012451 0
100000 500 64 0.346300 0.104830 0
10 500 128 0.000036 0.003583 0
100 500 128 0.000352 0.003561 0
1000 500 128 0.003521 0.004184 0
10000 500 128 0.035160 0.013332 0
100000 500 128 0.345609 0.106309 0
10 500 256 0.000036 0.003764 0
100 500 256 0.000352 0.003779 0
1000 500 256 0.003505 0.004664 0
10000 500 256 0.034873 0.013003 0
100000 500 256 0.345120 0.106701 0
