pi = 3.137865, error = 0.003728, time: 0.006482 s
pi = 3.138950, error = 0.002642, time: 0.006522 s
pi = 3.141816, error = -0.000223, time: 0.016327 s
pi = 3.110219, error = 0.031374, time: 0.134172 s
pi = 3.141502, error = 0.000091, time: 1.334046 s

pi = 3.141669, error = -0.000076, time: 2.961346 s
pi = 3.141589, error = 0.000004, time: 1.479483 s
pi = 3.141569, error = 0.000024, time: 1.366676 s
pi = 3.141568, error = 0.000024, time: 1.332041 s
pi = 3.141502, error = 0.000091, time: 1.334387 s
